time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,10,7,,
2024-03-01 00:00:00+00:00,13,8,,
2024-03-02 00:00:00+00:00,4,4,,
2024-03-03 00:00:00+00:00,3,3,,
2024-03-04 00:00:00+00:00,14,9,,
2024-03-05 00:00:00+00:00,9,7,,
2024-03-06 00:00:00+00:00,6,5,,
2024-03-07 00:00:00+00:00,5,4,,
2024-03-08 00:00:00+00:00,6,5,,
2024-03-09 00:00:00+00:00,4,4,,
2024-03-10 00:00:00+00:00,3,3,,
2024-03-11 00:00:00+00:00,23,14,,
2024-03-12 00:00:00+00:00,6,5,,
2024-03-13 00:00:00+00:00,6,4,,
